ID;male;female
23;$Name wollte im Ferrari von Johannes fliehen, leider hatte das Auto 100-200 PS zuviel für Ihn, er kam von der Straße ab und prallte gegen einen Baum. $Name ist tot und Johannes sehr traurig.;$Name wollte im Ferrari von Johannes fliehen, leider hatte das Auto 100-200 PS zuviel für Sie, sie kam von der Straße ab und prallte gegen einen Baum. $Name ist tot und Johannes sehr traurig.
24;Hinrichtung von $Name: Der sizilianische Bulle sah sehr imposant aus, hatte was von Dutch-Oven. $Name is durch.;Hinrichtung von $Name: Der sizilianische Bulle sah sehr imposant aus, hatte was von Dutch-Oven. $Name is durch.
25;$Name bekommt einen alten Zaubertrank, von dem er denkt, dass er ihm Unsterblichkeit verleiht. Nach dem Trinken fühlt er sich großartig, bis er bemerkt, dass er plötzlich nur transparent wird. $Name wird gehängt.;$Name bekommt einen alten Zaubertrank, von dem sie denkt, dass er ihr Unsterblichkeit verleiht. Nach dem Trinken fühlt sie sich großartig, bis sie bemerkt, dass sie plötzlich nur transparent wird. $Name ist tot.
26;$Name erfährt das heute sein letzter Tag sein soll und denkt sich, scheiß drauf, ich wollte schon immer mal Kokain ausprobieren, leider war der Stoff, der er gekauft hat kein Kokain, sondern ein Super Absorber Pulver, $Name vertrocknet von innen. $Name ist tot.;$Name erfährt das heute ihr letzter Tag sein soll und denkt sich, scheiß drauf, ich wollte schon immer mal Kokain ausprobieren, leider war der Stoff, der sie gekauft hat kein Kokain, sondern ein Super Absorber Pulver, $Name vertrocknet von innnen.
27;Hinrichtung von $Name: Er hat extreme Panik. Johannes hat ein Herz und hackt seinen Herzschrittmacher. $Name ist tot.;Hinrichtung von $Name: Sie hat extreme Panik. Johannes hat ein Herz und hackt ihren Herzschrittmacher. $Name ist tot.
28;$Name erfährt das er in Flusssäure aufgelöst werden soll, er wendet sich an einen Voodoo-Priester, das er ihm eine Tinktur mischt die ihn dagegen immun machen soll, leider war er ein Scharlatan. $Name ist tot.;$Name erfährt das sie in Flusssäure aufgelöst werden soll, sie wendet sich an einen Voodoo-Priester, das er ihr eine Tinktur mischt die sie dagegen immun machen soll, leider war er ein Scharlatan. $Name ist tot.
29;$Name erfährt das er hingerichtet werden soll, er nimmt sich erst mal seinen Kautabak, leider beisst er sich auf die Zunge, die durch den Kautabak extrem anschwillt und er erstickt. $Name ist tot.;$Name erfährt das sie hingerichtet werden soll, sie nimmt sich erst mal seinen Kautabak, leider beisst sie sich auf die Zunge, die durch den Kautabak extrem anschwillt und sie erstickt.. $Name ist tot.
30;Hinrichtung von $Name: Wurde zersägt, dabei wird man an den Beinen aufgehangen und dann von oben nach unten zersägt. $Name ist tot ;Hinrichtung von $Name: Wurde zersägt, dabei wird man an den Beinen aufgehangen und dann von oben nach unten zersägt. $Name ist tot
31;Hinrichtung von $Name: Die gute alte Blutadler-Hinrichtung. Sah sehr interessant aus. $Name ist tot.;Hinrichtung von $Name:Die gute alte Blutadler-Hinrichtung. Sah sehr interessant aus. $Name ist tot.
32;$Name hört von einer alten Sage über einen goldenen Apfel der Unsterblichkeit. Er findet einen Apfelbaum und isst den ersten Apfel. Der Apfel war nicht golden, sondern vergiftet. $Name ist tot.;$Name hört von einer alten Sage über einen goldenen Apfel der Unsterblichkeit. Sie findet einen Apfelbaum und isst den ersten Apfel. Der Apfel war nicht golden, sondern vergiftet. $Name ist tot.
33;Hinrichtung von $Name: Eine Mazzolata, er wird mit glühenden Zangen gefoltert, mit dem Hammer erschlagen und danach gevierteilt $Name ist tot.;Hinrichtung von $Name:Eine Mazzolata, sie wird mit glühenden Zangen gefoltert, mit dem Hammer erschlagen und danach gevierteilt. $Name ist tot.
34;Hinrichtung von $Name: $Name wird gekreuzigt. Er hang ein bisschen ab. $Name ist tot.;Hinrichtung von $Name: $Name wird gekreuzigt. Sie hang ein bisschen ab. $Name ist tot.
35;$Name will sich verstecken indem er sich in einem Tierfell einrollt, leider hat er nicht bedacht das er mit Ihrer Katzenallergie in dem Tigerfell einen anaphylaktischen Shock bekommen könnte. $Name ist tot.;$Name will sich verstecken indem Sie sich in einem Tierfell einrollt, leider hat Sie nicht bedacht das sie mit Ihrer Katzenallergie in dem Tigerfell einen anaphylaktischen Shock bekommen könnte. $Name ist tot.
36;$Name erfährt das er gesteinigt werden soll, genau in dem Zeitpunkt, wo er diese Info bekommt fliegt ein Pfeil durch seine Brust. $Name ist tot. Der Indianer-Sniper war schneller;$Name erfährt das sie gesteinigt werden soll, genau in dem Zeitpunkt, wo sie diese Info bekommt fliegt ein Pfeil durch ihre Brust. $Name ist tot. Der Indianer-Sniper war schneller...
37;$Name hört, dass man durch Yoga den Tod überlisten kann. Er probiert eine Position aus, verliert das Gleichgewicht und fällt in eine Gartenharke die neben Ihr liegt. $Name ist tot.;$Name hört, dass man durch Yoga den Tod überlisten kann. Sie probiert eine Position aus, verliert das Gleichgewicht und fällt in eine Gartenkarke die neben Ihr liegt. $Name ist tot.
38;Hinrichtung von $Name: Wird gesteinigt. Und er rief dabei immer: Jehova, Jehova... $Name ist tot.;Hinrichtung von $Name:Wird gesteinigt. Und er rief dabei immer: Jehova, Jehova.... $Name ist tot.
39;Hinrichtung von $Name: Wurde lebendig begraben, ein Wächter mit einer Axt sitzt an seinem Grab. $Name ist tot.;Hinrichtung von $Name:Wurde lebendig begraben, ein Wächter mit einer Axt sitzt an ihrem Grab. $Name ist tot.
40;Hinrichtung von $Name: Wurde Gesiedet, roch ein bisschen wie Eintopf. $Name ist tot.;Hinrichtung von $Name: Wurde Gesiedet, roch ein bisschen wie Eintopf. $Name ist tot.
41;Hinrichtung von $Name: Wurde gepfählt, hatte ein bisschen was von chinesischen Hühnchenspieß, als er auf dem einbeinigen Ross ritt. $Name ist tot.;Hinrichtung von $Name: Wurde gepfählt, hatte ein bisschen was von chinesischen Hühnchenspieß, als er auf dem einbeinigen Ross ritt. $Name ist tot.
42;Hinrichtung von $Name: Wurde den Löwen zum fraß vorgeworfen, sah wirklich aus wie bei meiner Katze. $Name ist tot.;Hinrichtung von $Name: Wurde den Löwen zum fraß vorgeworfen, sah wirklich aus wie bei meiner Katze. $Name ist tot.
